Year,Year ending,AFM Sex,AFM Age Group,AFM Counter,"Rate per 100,000 population"
2025,June,Females,00-04 years,239,123.3
2025,June,Females,05-09 years,614,307.2
2025,June,Females,10-14 years,1967,961.6
2025,June,Females,15-17 years,2695,"2,196.0"
2025,June,Females,18-19 years,2310,"2,713.9"
2025,June,Females,20-24 years,6784,"2,918.5"
2025,June,Females,25-29 years,8823,"3,322.4"
2025,June,Females,30-34 years,10735,"3,825.0"
2025,June,Females,35-39 years,11495,"4,187.6"
2025,June,Females,40-44 years,9631,"3,796.1"
2025,June,Females,45-49 years,7114,"3,302.6"
2025,June,Females,50-54 years,5642,"2,581.8"
2025,June,Females,55-59 years,3648,"1,802.7"
2025,June,Females,60-64 years,2332,"1,191.5"
2025,June,Females,65-69 years,1846,"1,031.6"
2025,June,Females,70-74 years,1334,862.4
2025,June,Females,75 years and over,1632,524.5
2025,June,Females,Total,79803,"2,223.1"
2025,June,Males,00-04 years,230,113.2
2025,June,Males,05-09 years,847,403.2
2025,June,Males,10-14 years,1253,580.2
2025,June,Males,15-17 years,1116,865.9
2025,June,Males,18-19 years,810,904.8
2025,June,Males,20-24 years,1915,770.6
2025,June,Males,25-29 years,2124,777.2
2025,June,Males,30-34 years,2626,947.6
2025,June,Males,35-39 years,2679,997.7
2025,June,Males,40-44 years,2724,"1,089.2"
2025,June,Males,45-49 years,2399,"1,143.8"
2025,June,Males,50-54 years,2184,"1,050.9"
2025,June,Males,55-59 years,1485,776.6
2025,June,Males,60-64 years,1304,713.4
2025,June,Males,65-69 years,941,578.0
2025,June,Males,70-74 years,667,486.8
2025,June,Males,75 years and over,935,373.0
2025,June,Males,Total,26484,755.1
2025,June,People,00-04 years,470,118.4
2025,June,People,05-09 years,1467,357.9
2025,June,People,10-14 years,3229,767.9
2025,June,People,15-17 years,3815,"1,516.3"
2025,June,People,18-19 years,3122,"1,787.6"
2025,June,People,20-24 years,8704,"1,809.7"
2025,June,People,25-29 years,10951,"2,032.3"
2025,June,People,30-34 years,13371,"2,397.3"
2025,June,People,35-39 years,14176,"2,610.6"
2025,June,People,40-44 years,12370,"2,455.4"
2025,June,People,45-49 years,9517,"2,238.5"
2025,June,People,50-54 years,7834,"1,837.4"
2025,June,People,55-59 years,5138,"1,305.5"
2025,June,People,60-64 years,3656,965.9
2025,June,People,65-69 years,2793,817.3
2025,June,People,70-74 years,2007,688.0
2025,June,People,75 years and over,2590,461.0
2025,June,People,Total,106430,"1,499.7"
2024,June,Females,00-04 years,183,96.3
2024,June,Females,05-09 years,645,322.1
2024,June,Females,10-14 years,2024,999.0
2024,June,Females,15-17 years,2685,"2,239.9"
2024,June,Females,18-19 years,2096,"2,520.8"
2024,June,Females,20-24 years,6295,"2,754.4"
2024,June,Females,25-29 years,8366,"3,189.9"
2024,June,Females,30-34 years,9768,"3,517.1"
2024,June,Females,35-39 years,10517,"3,904.1"
2024,June,Females,40-44 years,8758,"3,586.4"
2024,June,Females,45-49 years,6606,"3,125.8"
2024,June,Females,50-54 years,5334,"2,438.5"
2024,June,Females,55-59 years,3282,"1,654.7"
2024,June,Females,60-64 years,2191,"1,125.2"
2024,June,Females,65-69 years,1434,818.1
2024,June,Females,70-74 years,1154,758.7
2024,June,Females,75 years and over,1454,484.7
2024,June,Females,Total,73650,"2,087.2"
2024,June,Males,00-04 years,222,111.4
2024,June,Males,05-09 years,858,407.3
2024,June,Males,10-14 years,1229,575.4
2024,June,Males,15-17 years,1117,882.2
2024,June,Males,18-19 years,736,844.5
2024,June,Males,20-24 years,1893,774.6
2024,June,Males,25-29 years,2194,809.0
2024,June,Males,30-34 years,2379,875.6
2024,June,Males,35-39 years,2514,948.4
2024,June,Males,40-44 years,2498,"1,036.2"
2024,June,Males,45-49 years,2265,"1,100.1"
2024,June,Males,50-54 years,1896,914.0
2024,June,Males,55-59 years,1511,804.4
2024,June,Males,60-64 years,1224,674.3
2024,June,Males,65-69 years,832,520.9
2024,June,Males,70-74 years,600,444.2
2024,June,Males,75 years and over,845,349.4
2024,June,Males,Total,25057,726.3
2024,June,People,00-04 years,405,104.0
2024,June,People,05-09 years,1507,366.8
2024,June,People,10-14 years,3256,782.3
2024,June,People,15-17 years,3805,"1,543.7"
2024,June,People,18-19 years,2832,"1,663.0"
2024,June,People,20-24 years,8190,"1,731.7"
2024,June,People,25-29 years,10565,"1,980.5"
2024,June,People,30-34 years,12154,"2,212.2"
2024,June,People,35-39 years,13033,"2,438.5"
2024,June,People,40-44 years,11262,"2,320.8"
2024,June,People,45-49 years,8877,"2,127.7"
2024,June,People,50-54 years,7236,"1,697.9"
2024,June,People,55-59 years,4794,"1,241.4"
2024,June,People,60-64 years,3425,910.3
2024,June,People,65-69 years,2273,678.5
2024,June,People,70-74 years,1759,612.5
2024,June,People,75 years and over,2311,426.5
2024,June,People,Total,98812,"1,415.9"
2023,June,Females,00-04 years,202,107.1
2023,June,Females,05-09 years,590,296.7
2023,June,Females,10-14 years,1981,994.1
2023,June,Females,15-17 years,2568,"2,207.3"
2023,June,Females,18-19 years,1903,"2,406.8"
2023,June,Females,20-24 years,6308,"2,879.7"
2023,June,Females,25-29 years,8087,"3,190.4"
2023,June,Females,30-34 years,9464,"3,498.9"
2023,June,Females,35-39 years,9396,"3,589.2"
2023,June,Females,40-44 years,8220,"3,510.5"
2023,June,Females,45-49 years,6369,"3,044.1"
2023,June,Females,50-54 years,5071,"2,328.9"
2023,June,Females,55-59 years,2960,"1,512.9"
2023,June,Females,60-64 years,1921,998.1
2023,June,Females,65-69 years,1308,764.4
2023,June,Females,70-74 years,1073,720.0
2023,June,Females,75 years and over,1437,498.0
2023,June,Females,Total,69623,"2,021.1"
2023,June,Males,00-04 years,247,124.9
2023,June,Males,05-09 years,718,341.6
2023,June,Males,10-14 years,1239,589.6
2023,June,Males,15-17 years,951,773.8
2023,June,Males,18-19 years,679,809.9
2023,June,Males,20-24 years,1741,741.9
2023,June,Males,25-29 years,2115,805.2
2023,June,Males,30-34 years,2157,818.2
2023,June,Males,35-39 years,2447,947.3
