Year,Year ending,Local Government Area,Age Group,AFM Counter
2025,June,Alpine,00 - 17 years,10
2025,June,Alpine,18 - 24 years,21
2025,June,Alpine,25 - 34 years,22
2025,June,Alpine,35 - 44 years,37
2025,June,Alpine,45 - 54 years,35
2025,June,Alpine,55+ years,39
2025,June,Ararat,00 - 17 years,33
2025,June,Ararat,18 - 24 years,26
2025,June,Ararat,25 - 34 years,99
2025,June,Ararat,35 - 44 years,61
2025,June,Ararat,45 - 54 years,50
2025,June,Ararat,55+ years,44
2025,June,Ballarat,00 - 17 years,316
2025,June,Ballarat,18 - 24 years,472
2025,June,Ballarat,25 - 34 years,673
2025,June,Ballarat,35 - 44 years,680
2025,June,Ballarat,45 - 54 years,499
2025,June,Ballarat,55+ years,352
2025,June,Banyule,00 - 17 years,86
2025,June,Banyule,18 - 24 years,179
2025,June,Banyule,25 - 34 years,290
2025,June,Banyule,35 - 44 years,388
2025,June,Banyule,45 - 54 years,263
2025,June,Banyule,55+ years,306
2025,June,Bass Coast,00 - 17 years,76
2025,June,Bass Coast,18 - 24 years,94
2025,June,Bass Coast,25 - 34 years,163
2025,June,Bass Coast,35 - 44 years,240
2025,June,Bass Coast,45 - 54 years,170
2025,June,Bass Coast,55+ years,177
2025,June,Baw Baw,00 - 17 years,115
2025,June,Baw Baw,18 - 24 years,113
2025,June,Baw Baw,25 - 34 years,291
2025,June,Baw Baw,35 - 44 years,384
2025,June,Baw Baw,45 - 54 years,181
2025,June,Baw Baw,55+ years,187
2025,June,Bayside,00 - 17 years,137
2025,June,Bayside,18 - 24 years,69
2025,June,Bayside,25 - 34 years,108
2025,June,Bayside,35 - 44 years,149
2025,June,Bayside,45 - 54 years,174
2025,June,Bayside,55+ years,166
2025,June,Benalla,00 - 17 years,38
2025,June,Benalla,18 - 24 years,36
2025,June,Benalla,25 - 34 years,117
2025,June,Benalla,35 - 44 years,84
2025,June,Benalla,45 - 54 years,61
2025,June,Benalla,55+ years,69
2025,June,Boroondara,00 - 17 years,100
2025,June,Boroondara,18 - 24 years,95
2025,June,Boroondara,25 - 34 years,206
2025,June,Boroondara,35 - 44 years,249
2025,June,Boroondara,45 - 54 years,229
2025,June,Boroondara,55+ years,200
2025,June,Brimbank,00 - 17 years,151
2025,June,Brimbank,18 - 24 years,313
2025,June,Brimbank,25 - 34 years,624
2025,June,Brimbank,35 - 44 years,700
2025,June,Brimbank,45 - 54 years,501
2025,June,Brimbank,55+ years,590
2025,June,Buloke,00 - 17 years,4
2025,June,Buloke,18 - 24 years,6
2025,June,Buloke,25 - 34 years,29
2025,June,Buloke,35 - 44 years,19
2025,June,Buloke,45 - 54 years,8
2025,June,Buloke,55+ years,14
2025,June,Campaspe,00 - 17 years,76
2025,June,Campaspe,18 - 24 years,87
2025,June,Campaspe,25 - 34 years,209
2025,June,Campaspe,35 - 44 years,226
2025,June,Campaspe,45 - 54 years,119
2025,June,Campaspe,55+ years,128
2025,June,Cardinia,00 - 17 years,205
2025,June,Cardinia,18 - 24 years,191
2025,June,Cardinia,25 - 34 years,517
2025,June,Cardinia,35 - 44 years,587
2025,June,Cardinia,45 - 54 years,324
2025,June,Cardinia,55+ years,235
2025,June,Casey,00 - 17 years,495
2025,June,Casey,18 - 24 years,654
2025,June,Casey,25 - 34 years,1672
2025,June,Casey,35 - 44 years,1777
2025,June,Casey,45 - 54 years,991
2025,June,Casey,55+ years,815
2025,June,Central Goldfields,00 - 17 years,44
2025,June,Central Goldfields,18 - 24 years,49
2025,June,Central Goldfields,25 - 34 years,110
2025,June,Central Goldfields,35 - 44 years,68
2025,June,Central Goldfields,45 - 54 years,59
2025,June,Central Goldfields,55+ years,76
2025,June,Colac-Otway,00 - 17 years,44
2025,June,Colac-Otway,18 - 24 years,62
2025,June,Colac-Otway,25 - 34 years,112
2025,June,Colac-Otway,35 - 44 years,143
2025,June,Colac-Otway,45 - 54 years,49
2025,June,Colac-Otway,55+ years,73
2025,June,Corangamite,00 - 17 years,33
2025,June,Corangamite,18 - 24 years,37
2025,June,Corangamite,25 - 34 years,51
2025,June,Corangamite,35 - 44 years,44
2025,June,Corangamite,45 - 54 years,27
2025,June,Corangamite,55+ years,31
2025,June,Darebin,00 - 17 years,103
2025,June,Darebin,18 - 24 years,182
2025,June,Darebin,25 - 34 years,504
2025,June,Darebin,35 - 44 years,471
2025,June,Darebin,45 - 54 years,299
2025,June,Darebin,55+ years,321
2025,June,East Gippsland,00 - 17 years,211
2025,June,East Gippsland,18 - 24 years,337
2025,June,East Gippsland,25 - 34 years,464
2025,June,East Gippsland,35 - 44 years,555
2025,June,East Gippsland,45 - 54 years,418
2025,June,East Gippsland,55+ years,486
2025,June,Frankston,00 - 17 years,322
2025,June,Frankston,18 - 24 years,310
2025,June,Frankston,25 - 34 years,596
2025,June,Frankston,35 - 44 years,795
2025,June,Frankston,45 - 54 years,599
2025,June,Frankston,55+ years,455
2025,June,Gannawarra,00 - 17 years,20
2025,June,Gannawarra,18 - 24 years,36
2025,June,Gannawarra,25 - 34 years,54
