Year,Year ending,Local Government Area,Age Group,OTH Counter
2025,June,Alpine,00 - 17 years,7
2025,June,Alpine,18 - 24 years,23
2025,June,Alpine,25 - 34 years,35
2025,June,Alpine,35 - 44 years,51
2025,June,Alpine,45 - 54 years,26
2025,June,Alpine,55+ years,22
2025,June,Ararat,00 - 17 years,23
2025,June,Ararat,18 - 24 years,19
2025,June,Ararat,25 - 34 years,94
2025,June,Ararat,35 - 44 years,75
2025,June,Ararat,45 - 54 years,70
2025,June,Ararat,55+ years,32
2025,June,Ballarat,00 - 17 years,324
2025,June,Ballarat,18 - 24 years,441
2025,June,Ballarat,25 - 34 years,756
2025,June,Ballarat,35 - 44 years,770
2025,June,Ballarat,45 - 54 years,480
2025,June,Ballarat,55+ years,210
2025,June,Banyule,00 - 17 years,133
2025,June,Banyule,18 - 24 years,141
2025,June,Banyule,25 - 34 years,327
2025,June,Banyule,35 - 44 years,507
2025,June,Banyule,45 - 54 years,268
2025,June,Banyule,55+ years,145
2025,June,Bass Coast,00 - 17 years,80
2025,June,Bass Coast,18 - 24 years,123
2025,June,Bass Coast,25 - 34 years,205
2025,June,Bass Coast,35 - 44 years,247
2025,June,Bass Coast,45 - 54 years,168
2025,June,Bass Coast,55+ years,100
2025,June,Baw Baw,00 - 17 years,111
2025,June,Baw Baw,18 - 24 years,151
2025,June,Baw Baw,25 - 34 years,328
2025,June,Baw Baw,35 - 44 years,352
2025,June,Baw Baw,45 - 54 years,218
2025,June,Baw Baw,55+ years,109
2025,June,Bayside,00 - 17 years,56
2025,June,Bayside,18 - 24 years,72
2025,June,Bayside,25 - 34 years,127
2025,June,Bayside,35 - 44 years,191
2025,June,Bayside,45 - 54 years,212
2025,June,Bayside,55+ years,133
2025,June,Benalla,00 - 17 years,31
2025,June,Benalla,18 - 24 years,56
2025,June,Benalla,25 - 34 years,113
2025,June,Benalla,35 - 44 years,75
2025,June,Benalla,45 - 54 years,77
2025,June,Benalla,55+ years,59
2025,June,Boroondara,00 - 17 years,89
2025,June,Boroondara,18 - 24 years,83
2025,June,Boroondara,25 - 34 years,185
2025,June,Boroondara,35 - 44 years,290
2025,June,Boroondara,45 - 54 years,260
2025,June,Boroondara,55+ years,159
2025,June,Brimbank,00 - 17 years,115
2025,June,Brimbank,18 - 24 years,292
2025,June,Brimbank,25 - 34 years,840
2025,June,Brimbank,35 - 44 years,809
2025,June,Brimbank,45 - 54 years,511
2025,June,Brimbank,55+ years,292
2025,June,Buloke,00 - 17 years,2
2025,June,Buloke,18 - 24 years,5
2025,June,Buloke,25 - 34 years,26
2025,June,Buloke,35 - 44 years,11
2025,June,Buloke,45 - 54 years,24
2025,June,Buloke,55+ years,12
2025,June,Campaspe,00 - 17 years,53
2025,June,Campaspe,18 - 24 years,110
2025,June,Campaspe,25 - 34 years,266
2025,June,Campaspe,35 - 44 years,212
2025,June,Campaspe,45 - 54 years,131
2025,June,Campaspe,55+ years,80
2025,June,Cardinia,00 - 17 years,166
2025,June,Cardinia,18 - 24 years,210
2025,June,Cardinia,25 - 34 years,578
2025,June,Cardinia,35 - 44 years,618
2025,June,Cardinia,45 - 54 years,332
2025,June,Cardinia,55+ years,142
2025,June,Casey,00 - 17 years,479
2025,June,Casey,18 - 24 years,702
2025,June,Casey,25 - 34 years,1795
2025,June,Casey,35 - 44 years,1933
2025,June,Casey,45 - 54 years,1008
2025,June,Casey,55+ years,499
2025,June,Central Goldfields,00 - 17 years,29
2025,June,Central Goldfields,18 - 24 years,45
2025,June,Central Goldfields,25 - 34 years,146
2025,June,Central Goldfields,35 - 44 years,88
2025,June,Central Goldfields,45 - 54 years,62
2025,June,Central Goldfields,55+ years,36
2025,June,Colac-Otway,00 - 17 years,40
2025,June,Colac-Otway,18 - 24 years,81
2025,June,Colac-Otway,25 - 34 years,107
2025,June,Colac-Otway,35 - 44 years,141
2025,June,Colac-Otway,45 - 54 years,68
2025,June,Colac-Otway,55+ years,46
2025,June,Corangamite,00 - 17 years,24
2025,June,Corangamite,18 - 24 years,35
2025,June,Corangamite,25 - 34 years,55
2025,June,Corangamite,35 - 44 years,56
2025,June,Corangamite,45 - 54 years,24
2025,June,Corangamite,55+ years,27
2025,June,Darebin,00 - 17 years,129
2025,June,Darebin,18 - 24 years,184
2025,June,Darebin,25 - 34 years,549
2025,June,Darebin,35 - 44 years,517
2025,June,Darebin,45 - 54 years,320
2025,June,Darebin,55+ years,173
2025,June,East Gippsland,00 - 17 years,222
2025,June,East Gippsland,18 - 24 years,381
2025,June,East Gippsland,25 - 34 years,588
2025,June,East Gippsland,35 - 44 years,553
2025,June,East Gippsland,45 - 54 years,401
2025,June,East Gippsland,55+ years,316
2025,June,Frankston,00 - 17 years,234
2025,June,Frankston,18 - 24 years,425
2025,June,Frankston,25 - 34 years,733
2025,June,Frankston,35 - 44 years,831
2025,June,Frankston,45 - 54 years,614
2025,June,Frankston,55+ years,240
2025,June,Gannawarra,00 - 17 years,15
2025,June,Gannawarra,18 - 24 years,40
2025,June,Gannawarra,25 - 34 years,91
2025,June,Gannawarra,35 - 44 years,24
2025,June,Gannawarra,45 - 54 years,39
2025,June,Gannawarra,55+ years,31
2025,June,Glen Eira,00 - 17 years,85
2025,June,Glen Eira,18 - 24 years,102
2025,June,Glen Eira,25 - 34 years,212
2025,June,Glen Eira,35 - 44 years,351
2025,June,Glen Eira,45 - 54 years,276
2025,June,Glen Eira,55+ years,138
2025,June,Glenelg,00 - 17 years,39
2025,June,Glenelg,18 - 24 years,89
2025,June,Glenelg,25 - 34 years,138
2025,June,Glenelg,35 - 44 years,120
2025,June,Glenelg,45 - 54 years,90
2025,June,Glenelg,55+ years,36
2025,June,Golden Plains,00 - 17 years,17
2025,June,Golden Plains,18 - 24 years,21
2025,June,Golden Plains,25 - 34 years,57
2025,June,Golden Plains,35 - 44 years,73
2025,June,Golden Plains,45 - 54 years,42
2025,June,Golden Plains,55+ years,51
