Year,Year ending,Local Government Area,OTH Sex,OTH Counter
2025,June,Alpine,Females,55
2025,June,Alpine,Males,109
2025,June,Ararat,Females,65
2025,June,Ararat,Males,250
2025,June,Ballarat,Females,813
2025,June,Ballarat,Males,2201
2025,June,Banyule,Females,371
2025,June,Banyule,Males,1160
2025,June,Bass Coast,Females,254
2025,June,Bass Coast,Males,677
2025,June,Baw Baw,Females,332
2025,June,Baw Baw,Males,943
2025,June,Bayside,Females,226
2025,June,Bayside,Males,587
2025,June,Benalla,Females,82
2025,June,Benalla,Males,331
2025,June,Boroondara,Females,310
2025,June,Boroondara,Males,775
2025,June,Brimbank,Females,722
2025,June,Brimbank,Males,2171
2025,June,Buloke,Females,21
2025,June,Buloke,Males,60
2025,June,Campaspe,Females,180
2025,June,Campaspe,Males,680
2025,June,Cardinia,Females,509
2025,June,Cardinia,Males,1569
2025,June,Casey,Females,1492
2025,June,Casey,Males,5012
2025,June,Central Goldfields,Females,103
2025,June,Central Goldfields,Males,305
2025,June,Colac-Otway,Females,88
2025,June,Colac-Otway,Males,397
2025,June,Corangamite,Females,44
2025,June,Corangamite,Males,180
2025,June,Darebin,Females,449
2025,June,Darebin,Males,1447
2025,June,East Gippsland,Females,736
2025,June,East Gippsland,Males,1755
2025,June,Frankston,Females,748
2025,June,Frankston,Males,2363
2025,June,Gannawarra,Females,62
2025,June,Gannawarra,Males,178
2025,June,Glen Eira,Females,322
2025,June,Glen Eira,Males,853
2025,June,Glenelg,Females,129
2025,June,Glenelg,Males,387
2025,June,Golden Plains,Females,69
2025,June,Golden Plains,Males,194
2025,June,Greater Bendigo,Females,652
2025,June,Greater Bendigo,Males,2026
2025,June,Greater Dandenong,Females,740
2025,June,Greater Dandenong,Males,2269
2025,June,Greater Geelong,Females,1491
2025,June,Greater Geelong,Males,4085
2025,June,Greater Shepparton,Females,647
2025,June,Greater Shepparton,Males,1795
2025,June,Hepburn,Females,43
2025,June,Hepburn,Males,151
2025,June,Hindmarsh,Females,34
2025,June,Hindmarsh,Males,85
2025,June,Hobsons Bay,Females,271
2025,June,Hobsons Bay,Males,805
2025,June,Horsham,Females,166
2025,June,Horsham,Males,549
2025,June,Hume,Females,844
2025,June,Hume,Males,3034
2025,June,Indigo,Females,46
2025,June,Indigo,Males,134
2025,June,Kingston,Females,593
2025,June,Kingston,Males,1467
2025,June,Knox,Females,486
2025,June,Knox,Males,1424
2025,June,Latrobe,Females,785
2025,June,Latrobe,Males,2235
2025,June,Loddon,Females,43
2025,June,Loddon,Males,101
2025,June,Macedon Ranges,Females,111
2025,June,Macedon Ranges,Males,432
2025,June,Manningham,Females,236
2025,June,Manningham,Males,624
2025,June,Mansfield,Females,25
2025,June,Mansfield,Males,90
2025,June,Maribyrnong,Females,255
2025,June,Maribyrnong,Males,962
2025,June,Maroondah,Females,390
2025,June,Maroondah,Males,1094
2025,June,Melbourne,Females,522
2025,June,Melbourne,Males,1645
2025,June,Melton,Females,955
2025,June,Melton,Males,2672
2025,June,Merri-bek,Females,445
