Year,Year ending,Local Government Area,AFM Sex,AFM Counter
2025,June,Alpine,Females,128
2025,June,Alpine,Males,34
2025,June,Ararat,Females,252
2025,June,Ararat,Males,63
2025,June,Ballarat,Females,2279
2025,June,Ballarat,Males,733
2025,June,Banyule,Females,1137
2025,June,Banyule,Males,400
2025,June,Bass Coast,Females,708
2025,June,Bass Coast,Males,220
2025,June,Baw Baw,Females,959
2025,June,Baw Baw,Males,319
2025,June,Bayside,Females,608
2025,June,Bayside,Males,204
2025,June,Benalla,Females,322
2025,June,Benalla,Males,90
2025,June,Boroondara,Females,768
2025,June,Boroondara,Males,319
2025,June,Brimbank,Females,2132
2025,June,Brimbank,Males,766
2025,June,Buloke,Females,55
2025,June,Buloke,Males,26
2025,June,Campaspe,Females,670
2025,June,Campaspe,Males,189
2025,June,Cardinia,Females,1633
2025,June,Cardinia,Males,445
2025,June,Casey,Females,4889
2025,June,Casey,Males,1620
2025,June,Central Goldfields,Females,290
2025,June,Central Goldfields,Males,116
2025,June,Colac-Otway,Females,371
2025,June,Colac-Otway,Males,115
2025,June,Corangamite,Females,163
2025,June,Corangamite,Males,59
2025,June,Darebin,Females,1499
2025,June,Darebin,Males,398
2025,June,East Gippsland,Females,1821
2025,June,East Gippsland,Males,677
2025,June,Frankston,Females,2355
2025,June,Frankston,Males,757
2025,June,Gannawarra,Females,194
2025,June,Gannawarra,Males,45
2025,June,Glen Eira,Females,808
2025,June,Glen Eira,Males,366
2025,June,Glenelg,Females,386
2025,June,Glenelg,Males,129
2025,June,Golden Plains,Females,183
2025,June,Golden Plains,Males,80
2025,June,Greater Bendigo,Females,2035
2025,June,Greater Bendigo,Males,640
2025,June,Greater Dandenong,Females,2333
2025,June,Greater Dandenong,Males,674
2025,June,Greater Geelong,Females,4249
2025,June,Greater Geelong,Males,1333
2025,June,Greater Shepparton,Females,1843
2025,June,Greater Shepparton,Males,596
2025,June,Hepburn,Females,141
2025,June,Hepburn,Males,55
2025,June,Hindmarsh,Females,86
2025,June,Hindmarsh,Males,33
2025,June,Hobsons Bay,Females,780
2025,June,Hobsons Bay,Males,298
2025,June,Horsham,Females,549
2025,June,Horsham,Males,167
2025,June,Hume,Females,2951
2025,June,Hume,Males,931
2025,June,Indigo,Females,137
2025,June,Indigo,Males,43
2025,June,Kingston,Females,1442
2025,June,Kingston,Males,617
2025,June,Knox,Females,1424
2025,June,Knox,Males,485
2025,June,Latrobe,Females,2305
2025,June,Latrobe,Males,715
2025,June,Loddon,Females,94
2025,June,Loddon,Males,50
2025,June,Macedon Ranges,Females,417
2025,June,Macedon Ranges,Males,127
2025,June,Manningham,Females,642
2025,June,Manningham,Males,219
2025,June,Mansfield,Females,82
2025,June,Mansfield,Males,32
2025,June,Maribyrnong,Females,931
2025,June,Maribyrnong,Males,288
2025,June,Maroondah,Females,1086
2025,June,Maroondah,Males,402
2025,June,Melbourne,Females,1658
2025,June,Melbourne,Males,519
2025,June,Melton,Females,2666
2025,June,Melton,Males,960
2025,June,Merri-bek,Females,1429
2025,June,Merri-bek,Males,456
2025,June,Mildura,Females,1662
2025,June,Mildura,Males,524
2025,June,Mitchell,Females,1081
