Year,Year ending,Police Region,Local Government Area,Family Incidents,"Rate per 100,000 population"
2025,June,1 North West Metro, Banyule,1539,1157.6
2025,June,1 North West Metro, Brimbank,2898,1455.0
2025,June,1 North West Metro, Darebin,1900,1174.3
2025,June,1 North West Metro, Hobsons Bay,1078,1112.7
2025,June,1 North West Metro, Hume,3885,1386.3
2025,June,1 North West Metro, Maribyrnong,1220,1279.9
2025,June,1 North West Metro, Melbourne,2178,1119.3
2025,June,1 North West Metro, Melton,3632,1556.0
2025,June,1 North West Metro, Merri-bek,1889,1000.5
2025,June,1 North West Metro, Moonee Valley,1338,1020.3
2025,June,1 North West Metro, Nillumbik,518,810.5
2025,June,1 North West Metro, Whittlesea,3313,1270.6
2025,June,1 North West Metro, Wyndham,4150,1188.3
2025,June,1 North West Metro, Yarra,1337,1309.2
2025,June,1 North West Metro,Total,30875,1239.8
2025,June,2 Eastern, Alpine,164,1240.2
2025,June,2 Eastern, Bass Coast,932,2102.6
2025,June,2 Eastern, Baw Baw,1280,2028.2
2025,June,2 Eastern, Benalla,413,2802.2
2025,June,2 Eastern, Boroondara,1088,605.9
2025,June,2 Eastern, East Gippsland,2499,5021.5
2025,June,2 Eastern, Greater Shepparton,2442,3462.2
2025,June,2 Eastern, Indigo,180,1005.7
2025,June,2 Eastern, Knox,1914,1166.9
2025,June,2 Eastern, Latrobe,3022,3804.1
2025,June,2 Eastern, Manningham,862,649.4
2025,June,2 Eastern, Mansfield,115,1048.3
2025,June,2 Eastern, Maroondah,1489,1238.8
2025,June,2 Eastern, Mitchell,1378,2318.3
2025,June,2 Eastern, Moira,668,2158.0
2025,June,2 Eastern, Monash,1923,908.1
2025,June,2 Eastern, Murrindindi,205,1306.1
2025,June,2 Eastern, South Gippsland,604,1931.6
2025,June,2 Eastern, Strathbogie,184,1551.2
2025,June,2 Eastern, Towong,81,1295.6
2025,June,2 Eastern, Wangaratta,712,2346.9
2025,June,2 Eastern, Wellington,1508,3215.4
2025,June,2 Eastern, Whitehorse,1495,805.8
2025,June,2 Eastern, Wodonga,1116,2445.3
2025,June,2 Eastern, Yarra Ranges,2041,1268.7
2025,June,2 Eastern,Total,28315,1575.7
2025,June,3 Southern Metro, Bayside,815,762.2
2025,June,3 Southern Metro, Cardinia,2079,1547.7
2025,June,3 Southern Metro, Casey,6518,1560.8
2025,June,3 Southern Metro, Frankston,3112,2140.4
2025,June,3 Southern Metro, Glen Eira,1179,723.9
2025,June,3 Southern Metro, Greater Dandenong,3014,1785.1
2025,June,3 Southern Metro, Kingston,2062,1229.0
2025,June,3 Southern Metro, Mornington Peninsula,2517,1463.2
2025,June,3 Southern Metro, Port Phillip,1635,1425.2
2025,June,3 Southern Metro, Stonnington,1132,982.4
2025,June,3 Southern Metro,Total,24063,1410.7
2025,June,4 Western, Ararat,315,2693.5
2025,June,4 Western, Ballarat,3020,2439.0
2025,June,4 Western, Buloke,81,1376.5
2025,June,4 Western, Campaspe,860,2251.0
2025,June,4 Western, Central Goldfields,408,2958.8
2025,June,4 Western, Colac-Otway,486,2175.4
2025,June,4 Western, Corangamite,224,1419.1
2025,June,4 Western, Gannawarra,240,2309.2
2025,June,4 Western, Glenelg,516,2577.2
2025,June,4 Western, Golden Plains,263,978.6
2025,June,4 Western, Greater Bendigo,2678,2100.6
2025,June,4 Western, Greater Geelong,5586,1887.4
2025,June,4 Western, Hepburn,196,1155.1
2025,June,4 Western, Hindmarsh,119,2180.4
2025,June,4 Western, Horsham,716,3503.4
2025,June,4 Western, Loddon,144,1852.9
2025,June,4 Western, Macedon Ranges,544,996.9
2025,June,4 Western, Mildura,2187,3774.0
2025,June,4 Western, Moorabool,782,1923.2
2025,June,4 Western, Mount Alexander,293,1392.6
2025,June,4 Western, Moyne,238,1337.9
2025,June,4 Western, Northern Grampians,344,2926.4
2025,June,4 Western, Pyrenees,122,1519.5
2025,June,4 Western, Queenscliffe,23,648.4
2025,June,4 Western, Southern Grampians,371,2243.5
2025,June,4 Western, Surf Coast,351,865.6
2025,June,4 Western, Swan Hill,643,3061.0
2025,June,4 Western, Warrnambool,875,2403.5
2025,June,4 Western, West Wimmera,70,1820.5
2025,June,4 Western, Yarriambiack,156,2482.7
2025,June,4 Western,Total,22851,2072.0
2025,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,197,
2025,June,Justice Institutions and Immigration Facilities,Total,197,
2025,June,Unincorporated Vic, Unincorporated Vic,21,
2025,June,Unincorporated Vic,Total,21,
2024,June,1 North West Metro, Banyule,1413,1071.0
2024,June,1 North West Metro, Brimbank,2993,1510.5
2024,June,1 North West Metro, Darebin,1759,1099.6
2024,June,1 North West Metro, Hobsons Bay,1028,1074.9
2024,June,1 North West Metro, Hume,3633,1337.1
2024,June,1 North West Metro, Maribyrnong,1119,1187.3
2024,June,1 North West Metro, Melbourne,2138,1128.9
2024,June,1 North West Metro, Melton,3222,1466.6
2024,June,1 North West Metro, Merri-bek,1789,959.1
2024,June,1 North West Metro, Moonee Valley,1357,1046.0
2024,June,1 North West Metro, Nillumbik,440,690.8
2024,June,1 North West Metro, Whittlesea,2891,1141.8
2024,June,1 North West Metro, Wyndham,4402,1306.2
2024,June,1 North West Metro, Yarra,1036,1028.7
2024,June,1 North West Metro,Total,29220,1201.7
2024,June,2 Eastern, Alpine,126,954.6
2024,June,2 Eastern, Bass Coast,863,1981.3
2024,June,2 Eastern, Baw Baw,1294,2090.3
2024,June,2 Eastern, Benalla,355,2425.7
2024,June,2 Eastern, Boroondara,1076,604.5
2024,June,2 Eastern, East Gippsland,2012,4071.1
2024,June,2 Eastern, Greater Shepparton,2065,2955.3
2024,June,2 Eastern, Indigo,175,983.8
2024,June,2 Eastern, Knox,2002,1225.9
2024,June,2 Eastern, Latrobe,3046,3863.3
2024,June,2 Eastern, Manningham,1021,774.9
2024,June,2 Eastern, Mansfield,136,1261.4
2024,June,2 Eastern, Maroondah,1410,1181.4
2024,June,2 Eastern, Mitchell,1327,2353.5
2024,June,2 Eastern, Moira,645,2091.7
2024,June,2 Eastern, Monash,1923,918.9
2024,June,2 Eastern, Murrindindi,187,1198.5
2024,June,2 Eastern, South Gippsland,575,1853.5
2024,June,2 Eastern, Strathbogie,148,1260.8
2024,June,2 Eastern, Towong,76,1218.5
2024,June,2 Eastern, Wangaratta,647,2144.6
2024,June,2 Eastern, Wellington,1334,2866.8
2024,June,2 Eastern, Whitehorse,1524,830.7
2024,June,2 Eastern, Wodonga,1056,2355.9
2024,June,2 Eastern, Yarra Ranges,2018,1260.2
2024,June,2 Eastern,Total,27041,1520.3
2024,June,3 Southern Metro, Bayside,746,703.0
2024,June,3 Southern Metro, Cardinia,1699,1303.1
2024,June,3 Southern Metro, Casey,5737,1415.1
2024,June,3 Southern Metro, Frankston,3053,2111.1
2024,June,3 Southern Metro, Glen Eira,1085,673.7
2024,June,3 Southern Metro, Greater Dandenong,2652,1585.2
2024,June,3 Southern Metro, Kingston,1822,1094.2
2024,June,3 Southern Metro, Mornington Peninsula,2280,1329.8
2024,June,3 Southern Metro, Port Phillip,1358,1205.3
2024,June,3 Southern Metro, Stonnington,945,828.7
2024,June,3 Southern Metro,Total,21377,1272.8
2024,June,4 Western, Ararat,326,2789.7
2024,June,4 Western, Ballarat,2574,2126.4
2024,June,4 Western, Buloke,61,1024.2
2024,June,4 Western, Campaspe,831,2178.1
2024,June,4 Western, Central Goldfields,355,2590.5
2024,June,4 Western, Colac-Otway,452,2026.9
2024,June,4 Western, Corangamite,215,1356.8
2024,June,4 Western, Gannawarra,212,2037.7
2024,June,4 Western, Glenelg,484,2419.2
2024,June,4 Western, Golden Plains,225,854.3
2024,June,4 Western, Greater Bendigo,2589,2057.9
2024,June,4 Western, Greater Geelong,5090,1757.8
2024,June,4 Western, Hepburn,203,1206.6
2024,June,4 Western, Hindmarsh,99,1811.9
2024,June,4 Western, Horsham,698,3425.6
2024,June,4 Western, Loddon,113,1457.1
2024,June,4 Western, Macedon Ranges,523,973.2
2024,June,4 Western, Mildura,2090,3626.8
2024,June,4 Western, Moorabool,622,1562.3
2024,June,4 Western, Mount Alexander,221,1062.6
2024,June,4 Western, Moyne,195,1100.6
2024,June,4 Western, Northern Grampians,366,3099.6
2024,June,4 Western, Pyrenees,119,1495.4
2024,June,4 Western, Queenscliffe,18,545.1
2024,June,4 Western, Southern Grampians,362,2190.6
2024,June,4 Western, Surf Coast,264,661.2
2024,June,4 Western, Swan Hill,698,3309.0
2024,June,4 Western, Warrnambool,762,2107.9
2024,June,4 Western, West Wimmera,64,1635.6
2024,June,4 Western, Yarriambiack,124,1954.0
2024,June,4 Western,Total,20955,1926.1
2024,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,198,
2024,June,Justice Institutions and Immigration Facilities,Total,198,
2024,June,Unincorporated Vic, Unincorporated Vic,11,
2024,June,Unincorporated Vic,Total,11,
2023,June,1 North West Metro, Banyule,1163,897.3
2023,June,1 North West Metro, Brimbank,2841,1449.1
2023,June,1 North West Metro, Darebin,1711,1098.8
2023,June,1 North West Metro, Hobsons Bay,991,1057.2
2023,June,1 North West Metro, Hume,3639,1385.0
2023,June,1 North West Metro, Maribyrnong,1216,1325.0
2023,June,1 North West Metro, Melbourne,2116,1190.2
2023,June,1 North West Metro, Melton,2804,1361.0
2023,June,1 North West Metro, Merri-bek,1986,1095.6
2023,June,1 North West Metro, Moonee Valley,1267,1001.6
2023,June,1 North West Metro, Nillumbik,419,662.4
2023,June,1 North West Metro, Whittlesea,2639,1077.1
2023,June,1 North West Metro, Wyndham,4502,1389.2
