player_name,current_team,season,age,team_name_abbr,comp_name_abbr,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,salary
"Jaylen Brown","BOS","2024-25","28","BOS","NBA","SF","63","63","34.3","8.2","17.7",".463","1.8","5.7",".324","6.4",".529",".515","3.9","5.1",".764","1.3","4.5","5.8","4.5","1.2","0.3","2.6","2.4","22.2",""
"Jaylen Brown","BOS","2023-24","27","BOS","NBA","SF","70","70","33.5","9.0","17.9",".499","2.1","5.9",".354","6.9",".570",".557","3.0","4.3",".703","1.2","4.3","5.5","3.6","1.2","0.5","2.4","2.6","23.0",""
"Jaylen Brown","BOS","2022-23","26","BOS","NBA","SF","67","67","35.9","10.1","20.6",".491","2.4","7.3",".335","7.7",".576",".550","3.9","5.1",".765","1.2","5.7","6.9","3.5","1.1","0.4","2.9","2.6","26.6",""
"Torrey Craig","2TM","2024-25","34","2TM","NBA","SF","26","4","12.1","1.5","3.5",".422","0.9","2.5",".364","0.5",".583",".556","0.3","0.5",".667","1.0","1.8","2.8","0.7","0.3","0.5","0.3","1.3","4.2",""
"Torrey Craig","2TM","2023-24","33","CHI","NBA","SF","53","14","19.8","2.0","4.7",".430","1.1","2.9",".392","0.9",".490",".550","0.5","0.7",".750","1.3","2.8","4.1","1.1","0.6","0.4","0.6","2.1","5.7",""
"Torrey Craig","2TM","2022-23","32","PHO","NBA","PF","79","60","24.7","2.9","6.3",".456","1.3","3.2",".395","1.6",".518",".556","0.4","0.6",".711","1.8","3.6","5.4","1.5","0.6","0.8","0.9","2.3","7.4",""
"JD Davison","BOS","2024-25","22","BOS","NBA","PG","16","0","5.8","0.8","2.1",".353","0.3","1.1",".222","0.5",".500",".412","0.3","0.4",".714","0.1","0.7","0.8","0.8","0.3","0.1","0.8","0.1","2.1",""
"JD Davison","BOS","2023-24","21","BOS","NBA","SG","8","0","4.9","0.6","1.5",".417","0.4","0.9",".429","0.3",".400",".542","0.4","0.5",".750","0.3","1.0","1.3","1.3","0.1","0.1","0.3","0.5","2.0",""
"JD Davison","BOS","2022-23","20","BOS","NBA","SG","12","0","5.5","0.7","1.6",".421","0.2","0.6",".286","0.5",".500",".474","0.1","0.2",".500","0.2","0.6","0.8","0.9","0.2","0.2","0.3","0.4","1.6",""
"Sam Hauser","BOS","2024-25","27","BOS","NBA","PF","71","19","21.7","3.0","6.7",".451","2.3","5.6",".416","0.7",".640",".627","0.2","0.2","1.000","0.6","2.5","3.2","0.9","0.6","0.2","0.3","1.2","8.5",""
