player_name,current_team,season,age,team_name_abbr,comp_name_abbr,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,salary
A.J. Green,MIL,2022-23,23.0,MIL,NBA,SG,35.0,1.0,9.9,1.5,3.6,0.424,1.3,3.0,0.419,0.3,0.45,0.6,0.1,0.1,1.0,0.2,1.1,1.3,0.6,0.2,0.0,0.3,0.9,4.4,
A.J. Green,MIL,2023-24,24.0,MIL,NBA,SG,56.0,0.0,11.0,1.5,3.5,0.423,1.2,3.0,0.408,0.3,0.519,0.599,0.3,0.3,0.895,0.2,1.0,1.1,0.5,0.2,0.1,0.2,0.9,4.5,
A.J. Green,MIL,2024-25,25.0,MIL,NBA,SG,73.0,7.0,22.7,2.5,5.8,0.429,2.1,5.0,0.427,0.4,0.443,0.612,0.3,0.4,0.815,0.2,2.1,2.4,1.5,0.5,0.1,0.5,2.2,7.4,
A.J. Lawson,TOR,2023-24,23.0,DAL,NBA,SG,42.0,0.0,7.4,1.3,2.9,0.446,0.3,1.2,0.26,1.0,0.577,0.5,0.4,0.5,0.652,0.3,0.9,1.2,0.5,0.2,0.1,0.3,0.5,3.2,
A.J. Lawson,TOR,2024-25,24.0,TOR,NBA,SG,26.0,2.0,18.7,3.1,7.3,0.421,1.3,3.9,0.327,1.8,0.528,0.508,1.7,2.4,0.683,0.8,2.5,3.3,1.2,0.5,0.2,0.6,1.7,9.1,
Aaron Gordon,DEN,2022-23,27.0,DEN,NBA,PF,68.0,68.0,30.2,6.3,11.2,0.564,0.9,2.5,0.347,5.4,0.628,0.603,2.8,4.6,0.608,2.4,4.1,6.6,3.0,0.8,0.8,1.4,1.9,16.3,
Aaron Gordon,DEN,2023-24,28.0,DEN,NBA,PF,73.0,73.0,31.5,5.5,9.8,0.556,0.5,1.9,0.29,4.9,0.619,0.584,2.4,3.7,0.658,2.4,4.1,6.5,3.5,0.8,0.6,1.4,1.9,13.9,
Aaron Gordon,DEN,2024-25,29.0,DEN,NBA,PF,51.0,42.0,28.4,5.2,9.7,0.531,1.5,3.4,0.436,3.7,0.582,0.607,2.8,3.5,0.81,1.6,3.3,4.8,3.2,0.5,0.3,1.4,1.6,14.7,
Aaron Holiday,HOU,2022-23,26.0,ATL,NBA,PG,63.0,6.0,13.4,1.5,3.5,0.418,0.6,1.4,0.409,0.9,0.424,0.5,0.4,0.5,0.844,0.4,0.8,1.2,1.4,0.6,0.2,0.6,1.3,3.9,
Aaron Holiday,HOU,2023-24,27.0,HOU,NBA,PG,78.0,1.0,16.3,2.4,5.3,0.446,1.1,2.8,0.387,1.3,0.51,0.547,0.7,0.8,0.921,0.3,1.3,1.6,1.8,0.5,0.1,0.7,1.6,6.6,
Aaron Holiday,HOU,2024-25,28.0,HOU,NBA,PG,62.0,3.0,12.8,1.9,4.3,0.437,1.2,2.9,0.398,0.7,0.517,0.571,0.5,0.7,0.829,0.2,1.0,1.3,1.3,0.3,0.2,0.6,1.0,5.5,
Aaron Nesmith,IND,2022-23,23.0,IND,NBA,SF,73.0,60.0,24.9,3.5,8.1,0.427,1.6,4.3,0.366,1.9,0.496,0.525,1.6,1.9,0.838,0.8,2.9,3.8,1.3,0.8,0.5,1.0,3.2,10.1,
Aaron Nesmith,IND,2023-24,24.0,IND,NBA,SF,72.0,47.0,27.7,4.4,8.8,0.496,1.9,4.6,0.419,2.4,0.581,0.606,1.5,1.9,0.781,0.9,2.9,3.8,1.5,0.9,0.7,0.9,3.3,12.2,
Aaron Nesmith,IND,2024-25,25.0,IND,NBA,SF,45.0,37.0,25.0,4.3,8.4,0.507,1.9,4.3,0.431,2.4,0.587,0.617,1.6,1.8,0.913,0.8,3.1,4.0,1.2,0.8,0.4,0.8,2.5,12.0,
Aaron Wiggins,OKC,2022-23,24.0,OKC,NBA,SG,70.0,14.0,18.5,2.7,5.2,0.512,0.7,1.7,0.393,2.0,0.573,0.579,0.8,1.0,0.831,1.0,2.0,3.0,1.1,0.6,0.2,0.8,1.6,6.8,
Aaron Wiggins,OKC,2023-24,25.0,OKC,NBA,SG,78.0,4.0,15.7,2.7,4.8,0.562,0.8,1.6,0.492,1.9,0.598,0.645,0.7,0.9,0.789,0.8,1.6,2.4,1.1,0.7,0.2,0.7,1.2,6.9,
Aaron Wiggins,OKC,2024-25,26.0,OKC,NBA,SG,76.0,26.0,22.9,4.7,9.6,0.488,1.7,4.5,0.383,3.0,0.578,0.577,1.0,1.2,0.831,1.1,2.8,3.9,1.8,0.8,0.2,0.9,1.3,12.0,
Adam Flagler,OKC,2023-24,24.0,OKC,NBA,SG,2.0,0.0,7.0,0.5,3.5,0.143,0.5,3.0,0.167,0.0,0.0,0.214,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.5,
Adam Flagler,OKC,2024-25,25.0,OKC,NBA,SG,37.0,0.0,5.5,0.7,2.6,0.26,0.4,1.9,0.194,0.3,0.458,0.333,0.0,0.1,0.5,0.2,0.5,0.7,0.3,0.2,0.1,0.1,0.4,1.8,
Adama Sanogo,CHI,2023-24,21.0,CHI,NBA,PF,9.0,0.0,7.3,1.6,3.0,0.519,0.0,0.0,,1.6,0.519,0.519,0.9,1.3,0.667,2.1,1.9,4.0,0.0,0.1,0.0,0.6,0.6,4.0,
Adama Sanogo,CHI,2024-25,22.0,CHI,NBA,C,4.0,0.0,5.3,1.0,1.8,0.571,0.0,0.0,,1.0,0.571,0.571,0.0,0.0,,1.3,0.3,1.5,0.3,0.0,0.0,0.3,0.3,2.0,
